2022 Income from licensed canteens,
,
,2022
School Name,Licensed canteens
Anna Bay Public School,"3,120.00 "
Appin Public School,"3,636.40 "
Artarmon Public School,"13,989.57 "
Ashbury Public School,"2,517.18 "
Ashfield Public School,"2,590.92 "
Auburn North Public School,"1,554.35 "
Auburn West Public School,"12,124.59 "
Austral Public School,"8,062.80 "
Greenacre Public School,"8,400.00 "
Bankstown North Public School,"7,752.70 "
Banora Point Public School,"3,275.61 "
Baradine Central School,9.09 
Barooga Public School,"1,818.24 "
Belmore North Public School,"11,544.52 "
Berkeley Public School,"2,080.00 "
Berkeley Vale Public School,"6,760.00 "
Beverly Hills Public School,"13,745.44 "
Bomaderry Public School,"6,295.11 "
Bronte Public School,"4,681.82 "
Burwood Public School,"15,127.28 "
Cabramatta Public School,"34,363.63 "
Camden Public School,"5,253.78 "
Camdenville Public School,331.38 
Campbelltown Public School,"14,104.72 "
Canley Vale Public School,"35,649.00 "
Canterbury Public School,"4,090.40 "
Cessnock East Public School,"2,290.93 "
Chipping Norton Public School,"1,170.71 "
Clemton Park Public School,"18,370.56 "
Cobbitty Public School,"4,120.00 "
Concord West Public School,"6,749.19 "
Coolah Central School,363.64 
Coolamon Central School,"4,581.82 "
Dapto Public School,"21,182.14 "
Doonside Public School,"5,500.00 "
Double Bay Public School,"1,054.54 "
Earlwood Public School,"25,524.16 "
Eastern Creek Public School,"2,919.96 "
Emu Plains Public School,"3,333.33 "
Enfield Public School,363.60 
Epping West Public School,"32,466.89 "
Woodport Public School,"3,893.80 "
Fairfield Public School,"20,000.00 "
Fairfield West Public School,"12,727.28 "
Fairy Meadow Public School,"13,636.36 "
Five Dock Public School,"4,213.13 "
Forest Lodge Public School,613.65 
Forster Public School,"8,406.10 "
Gillieston Public School,681.81 
Girraween Public School,"24,750.00 "
Windang Public School,953.17 
Glenfield Public School,"8,647.27 "
Grafton Public School,"1,157.28 "
Granville Public School,"11,050.08 "
Green Valley Public School,"11,781.84 "
Greystanes Public School,"21,216.00 "
Gymea Bay Public School,"29,309.07 "
Haberfield Public School,"13,236.36 "
Hoxton Park Public School,"20,058.75 "
Hurstville South Public School,"18,909.09 "
Jindabyne Central School,"7,317.83 "
The Junction Public School,"5,454.56 "
Kanwal Public School,"8,352.38 "
Kegworth Public School,"11,454.55 "
Kiama Public School,"4,545.45 "
Bexley North Public School,"17,381.72 "
Kingswood Public School,"6,547.82 "
Kogarah Public School,"7,272.72 "
Kyogle Public School,"2,545.44 "
Lake Cargelligo Central School,"2,454.54 "
Lakemba Public School,"14,370.94 "
Lake Munmorah Public School,"4,339.10 "
Lidcombe Public School,"12,480.00 "
Lindfield East Public School,"5,672.72 "
Malabar Public School,"4,096.00 "
Maroubra Bay Public School,"6,225.07 "
Marsden Park Public School,"3,933.31 "
Merrylands Public School,"21,493.56 "
Middle Harbour Public School,"12,854.55 "
Mortdale Public School,"2,181.80 "
Moss Vale Public School,"9,442.60 "
Mount Pritchard Public School,"14,000.00 "
Murwillumbah Public School,"2,272.71 "
Narooma Public School,"1,432.38 "
North Rocks Public School,"28,145.42 "
Nowra Public School,"1,248.00 "
Oakville Public School,"16,000.00 "
Old Bar Public School,"7,515.26 "
Padstow Park Public School,"11,482.43 "
Parklea Public School,-571.96 
Peakhurst Public School,"26,952.77 "
Penshurst Public School,"20,480.00 "
Picton Public School,"5,727.26 "
Plumpton Public School,"17,007.93 "
Prestons Public School,"25,348.38 "
Punchbowl Public School,"20,000.00 "
Quakers Hill Public School,"27,688.96 "
Leppington Public School,"4,378.08 "
Rainbow Street Public School,"6,801.83 "
Regentville Public School,"6,323.20 "
Revesby Public School,"4,368.00 "
Riverstone Public School,"2,750.00 "
Rockdale Public School,"10,635.12 "
Rossmore Public School,"2,600.29 "
West Ryde Public School,"7,192.44 "
St Johns Park Public School,"38,000.00 "
St Marys Public School,"5,615.32 "
Schofields Public School,"18,727.30 "
Smithfield Public School,"23,397.12 "
South West Rocks Public School,909.08 
Warrawong Public School,"2,573.68 "
Summer Hill Public School,"19,287.30 "
Thornton Public School,"1,818.20 "
Unanderra Public School,"1,852.36 "
Vaucluse Public School,"5,677.64 "
Carramar Public School,59.00 
Waitara Public School,"25,958.40 "
Warners Bay Public School,"4,679.40 "
Willoughby Public School,"13,772.72 "
Athelstane Public School,"4,391.97 "
Wollongong West Public School,90.92 
Woonona Public School,"13,693.96 "
Wyee Public School,"3,150.00 "
Young Public School,"1,685.44 "
Kemps Creek Public School,"4,318.20 "
Fairfield Heights Public School,"49,084.96 "
Warwick Farm Public School,363.64 
Oxley Vale Public School,818.19 
South Coogee Public School,"6,662.66 "
Warragamba Public School,"5,454.56 "
Wiripaang Public School,"1,092.00 "
Pymble Public School,"11,698.61 "
Condell Park Public School,"37,365.95 "
Bald Face Public School,"7,178.50 "
Chullora Public School,"3,245.48 "
Wahroonga Public School,"16,000.00 "
Parramatta East Public School,"17,430.62 "
Uralla Central School,"1,866.08 "
Wattle Grove Public School,"11,818.20 "
Narwee Public School,"7,551.55 "
Mount St Thomas Public School,4.00 
Westmead Public School,"8,727.28 "
McCallums Hill Public School,"13,300.00 "
Pagewood Public School,"3,184.60 "
Crown Street Public School,"4,915.35 "
Beverly Hills North Public School,"25,159.68 "
Maitland Public School,"2,272.75 "
Marrickville Public School,"2,740.90 "
Wollongong Public School,"5,636.36 "
Padstow Heights Public School,"7,488.00 "
Cabramatta West Public School,"21,161.26 "
Chester Hill North Public School,"5,454.55 "
Canley Heights Public School,"26,181.87 "
Balgowlah North Public School,"10,816.00 "
Hilltop Road Public School,"33,222.59 "
Guildford West Public School,"1,818.18 "
Warilla Public School,727.28 
Fairvale Public School,"11,345.46 "
Panania North Public School,"11,853.13 "
Peakhurst West Public School,"8,304.72 "
Birrong Public School,"7,272.70 "
Leumeah Public School,"18,545.44 "
Wattawa Heights Public School,"3,636.40 "
Cambridge Park Public School,"20,652.50 "
Macquarie Fields Public School,"25,278.77 "
Villawood North Public School,"6,971.59 "
Hannans Road Public School,"1,363.65 "
Blacktown West Public School,"8,508.05 "
Campbelltown North Public School,"14,545.44 "
Penrith South Public School,"13,498.36 "
Bankstown West Public School,"3,055.70 "
Edgeworth Heights Public School,"1,854.58 "
Kent Road Public School,"16,852.50 "
Liverpool West Public School,"23,250.00 "
Marayong Public School,"1,144.00 "
Berkeley West Public School,227.27 
Blacktown South Public School,"10,909.08 "
Casula Public School,"29,090.92 "
St Marys North Public School,"8,181.80 "
Biddabah Public School,"3,374.58 "
Quakers Hill East Public School,"18,345.60 "
Banksia Road Public School,"8,666.70 "
Loftus Public School,945.46 
Vardys Road Public School,"7,560.00 "
Randwick Public School,"26,625.62 "
Lynwood Park Public School,400.00 
Lakelands Public School,850.95 
Campbelltown East Public School,"11,745.39 "
Marsden Road Public School,"24,909.10 "
Bennett Road Public School,"14,749.28 "
Camden South Public School,"33,086.37 "
Holsworthy Public School,"16,436.36 "
Lurnea Public School,"15,516.94 "
Mount Druitt Public School,"10,582.82 "
Walters Road Public School,"3,258.90 "
Bardia Public School,"15,116.42 "
Harrington Street Public School,"42,500.00 "
