Anna Bay Public School,3120
Appin Public School,3636.4
Artarmon Public School,13989.57
Ashbury Public School,2517.18
Ashfield Public School,2590.92
Auburn North Public School,1554.35
Auburn West Public School,12124.59
Austral Public School,8062.8
Greenacre Public School,8400
Bankstown North Public School,7752.7
Banora Point Public School,3275.61
Baradine Central School,9.09
Barooga Public School,1818.24
Belmore North Public School,11544.52
Berkeley Public School,2080
Berkeley Vale Public School,6760
Beverly Hills Public School,13745.44
Bomaderry Public School,6295.11
Bronte Public School,4681.82
Burwood Public School,15127.28
Cabramatta Public School,34363.63
Camden Public School,5253.78
Camdenville Public School,331.38
Campbelltown Public School,14104.72
Canley Vale Public School,35649
Canterbury Public School,4090.4
Cessnock East Public School,2290.93
Chipping Norton Public School,1170.71
Clemton Park Public School,18370.56
Cobbitty Public School,4120
Concord West Public School,6749.19
Coolah Central School,363.64
Coolamon Central School,4581.82
Dapto Public School,21182.14
Doonside Public School,5500
Double Bay Public School,1054.54
Earlwood Public School,25524.16
Eastern Creek Public School,2919.96
Emu Plains Public School,3333.33
Enfield Public School,363.6
Epping West Public School,32466.89
Woodport Public School,3893.8
Fairfield Public School,20000
Fairfield West Public School,12727.28
Fairy Meadow Public School,13636.36
Five Dock Public School,4213.13
Forest Lodge Public School,613.65
Forster Public School,8406.1
Gillieston Public School,681.81
Girraween Public School,24750
Windang Public School,953.17
Glenfield Public School,8647.27
Grafton Public School,1157.28
Granville Public School,11050.08
Green Valley Public School,11781.84
Greystanes Public School,21216
Gymea Bay Public School,29309.07
Haberfield Public School,13236.36
Hoxton Park Public School,20058.75
Hurstville South Public School,18909.09
Jindabyne Central School,7317.83
The Junction Public School,5454.56
Kanwal Public School,8352.38
Kegworth Public School,11454.55
Kiama Public School,4545.45
Bexley North Public School,17381.72
Kingswood Public School,6547.82
Kogarah Public School,7272.72
Kyogle Public School,2545.44
Lake Cargelligo Central School,2454.54
Lakemba Public School,14370.94
Lake Munmorah Public School,4339.1
Lidcombe Public School,12480
Lindfield East Public School,5672.72
Malabar Public School,4096
Maroubra Bay Public School,6225.07
Marsden Park Public School,3933.31
Merrylands Public School,21493.56
Middle Harbour Public School,12854.55
